Paper_title ,Broad_subject ,Specific_focus ,Data_type ,Country_studied,Publication_year,County,Region,UK_country,,Number of rivers or areas studied 
Individual identification and distribution assessment of otters (Lutra lutra) through non-invasive genetic sampling: Recovery of an endangered species in the Basque Country (Northern Spain,Population ,Population Genetics ,Spraint,Spain,2014,,,,,
"TEMPORAL TRENDS OF PCBs, DDE, POLYBROMINATED BIPHENYL ETHERS (PBDEs), HBCDD AND PERFLUORINATED ALKYL ACIDS (PFAAs) IN OTTERS (LUTRA LUTRA) IN SWEDEN WITH A FOCUS ON TRANSFER FROM MOTHER TO CUB ",Pollution,POPs,Tissue samples ,Sweden,2014,,,,,
Temporal trends of polybrominated diphenyl ethers (PBDEs) and hexabromocyclododecane (HBCDD) in eurasian otters (Lutra lutra) in Sweden,Pollution,"POPs, PFCs",Tissue samples ,Sweden,2014,,,,,
Sprainting Into The Wind,Behaviour,Sprainting behaviour ,Spraint,United Kingdom,2014,Aberdeenshire,,,,1 river system
Otters and Eels: Long-Term Observations on Declines in Scotland,Ecology_Population,Diet_Population size,Spraint_Observations,United Kingdom,2014,Aberdeenshire,,,,1 river system
Contrasting genetic structure of the Eurasian otter (Lutra lutra) across a latitudinal divide,Population ,Population Genetics ,Tissue samples ,United Kingdom,2014,National ,,United Kingdom,,
Detecting detectability: identifying and correcting bias in binary wildlife surveys demonstrates their potential impact on conservation assessments,Population ,Population Size ,Survey,United Kingdom,2014,NA,,,,
Methods of estimating marine mammal diets: A review of validation experiments and sources of bias and uncertainty,Reviews and methods,Diet ,Review ,Canada,2013,,,,,
Do non-native fish as prey favour the conservation of the threatened indigenous Eurasian otter?,Reviews and methods,Ecology Review,Spraint,Euope,2013,,,,,NA
How to Overcome Genotyping Errors in Non-Invasive Genetic Mark-Recapture Population Size Estimation-A Review of Available Methods Illustrated by a Case Study,Reviews and methods,Population Review,Review ,Europe,2013,,,,,
A scale-sensitive connectivity analysis to identify ecological networks and conservation value in river networks,Ecology ,Habitat sutibility ,Modeling ,France,2013,,,,,1 river system
Seasonal Diet of the Otter (Lutra lutra) On the Alazani River (Georgia),Ecology ,Diet,Spraint,Georgia,2013,,,,,1 river system
Comparative Analysis of the Conflicts Between Carp Pond Farming and the Protection of Otters (Lutra lutra) in Upper Lusatia and South Bohemia,Ecology ,Human impacts ,Survey,Germany_Czech Republic,2013,,,,,2 regions
"On the status and biology of the European Otter, Lutra lutra (Carnivora: Mustelidae), in Iran",Reviews and methods,Species Review ,Literiture,Iran,2013,,,,,
The Status of Iraq Smooth-Coated Otter Lutrogale perspicillata maxwelli Hayman 1956 and Eurasian Otter Lutra lutra Linnaeus 1758 in Iraq,Population ,Population Size ,Survey,Iraq,2013,,,,,
A Non-Invasive Genetic Survey Of Otters (Lutra lutra) In An Urban Environment: A Pilot Study With Citizen Scientists,Population ,Population Size,Spraint,Ireland,2013,,,,,1 river system
Review and quantitative meta-analysis of diet suggests the Eurasian otter (Lutra lutra) is likely to be a poor bioindicator,Reviews and methods,Species Review ,Literiture,Ireland,2013,,,,,
Genetic Diversity of the Eurasian Otter (Lutra lutra) Population in Israel,Population ,Population Genetics ,Tissue samples ,Israel,2013,,,,,
Dam reservoir affects diet of otters inhabiting mountain river in SE Poland,Ecology ,Diet,Spraint,Poland,2013,,,,,1 river system
Habitat correlates of the Eurasian otter Lutra lutra recolonizing Central Poland,Ecology ,Habitat Suitability ,Enviromental variables,Poland,2013,,,,,1 river system
DETECTION OF OTTER (LUTRA LUTRA L.) SIGNS IN A SURVEY OF CENTRAL AND EASTERN POLAND: METHODOLOGICAL IMPLICATIONS,Population ,Population Size ,Survey,Poland,2013,,,,,
DISSEMINATED MYCOBACTERIUM AVIUM SUBSP. PARATUBERCULOSIS INFECTION IN TWO WILD EURASIAN OTTERS (LUTRA LUTRA L.) FROM PORTUGAL,Health,Disease,Specimen,Portugal,2013,,,,,
Virulence traits and antibiotic resistance among enterococci isolated from Eurasian otter (Lutra lutra),Health,Microbiome ,Spraint,Portugal,2013,,,,,
"Fine-scale population genetic structure and short-range sex-biased dispersal in a solitary carnivore, Lutra lutra",Population ,Population Structure ,Blood_Hair_Spraint_Radio tracking,Portugal,2013,,,,,
FEEDING OF OTTER (LUTRA LUTRA) IN DIFFERENT SEASONS IN THE SIKHOTE-ALIN RIDGE,Ecology ,Diet,Spraint,Russian Federation ,2013,,,,,1 region
"Re-Colonisation of the Eurasian Otter (Lutra lutra) in the Hron River Catchment (Slovakia) – a Preliminary Report from a Survey, or Who Reintroduced the Otter in the Hron River and Why?",Population ,Species distribution,Survey,Slovakia,2013,,,,,4 or more
The role of prey abundance and flow regulation in the marking behaviour of Eurasian otters in a Mediterranean catchment,Ecology ,Habitat Use ,Spraint,Spain,2013,,,,,1 river system
High Prevalence of Proposed Müllerian Duct Remnant Cysts on the Spermatic Duct in Wild Eurasian Otters (Lutra lutra) from Sweden,Health,General Health ,Specimen,Sweden,2013,,,,,
The Otter (Lutra lutra) in Sweden: Contaminants and Health,Population ,Population Size ,Specimen,Sweden,2013,,,,,
Increasing Concentrations of Perfluoroalkyl Acids in Scandinavian Otters (Lutra lutra) between 1972 and 2011: A New Threat to the Otter Population?,Pollution,PFCs,Tissue samples ,Sweden_Norway,2013,,,,,
There and back again? Combining habitat suitability modelling and connectivity analyses to assess a potential return of the otter to Switzerland,Population ,Reintroduction,Review ,Switzerland,2013,,,,,
Seasonal use of ponds as foraging habitat by Eurasian otter with description of an alternative handling technique for common toad predation,Ecology ,Diet,Spraint,United Kingdom,2013,Norfolk,,,,1 region
The Impacts of Roads on Eurasian Otters,Ecology ,Human impacts ,Enviromental variables,United Kingdom,2013,"Cornwall, Devon, Somerset, Hampshire, West Sussex, East Sussex, Kent, Greater London, City and County of the City of London,Norfolk, Suffolk, Essex, Wiltshire, Gloucestershire, Northamptonshire, Worcestershire, Herefordshire, Cheshire, Merseyside, Leicestershire, Derbyshire, Nottinghamshire, Yorkshire, Northumberland, Powys, Dyfed, Gwynedd, Clwyd, West Glamorgan, South Glamorgan, Mid Glamorgan, Gwent",,England and wales ,,1 region
"Abiotic and Biotic Factors Associated with Tick Population Dynamics on a Mammalian Host: Ixodes hexagonus Infesting Otters, Lutra lutra",Health,Parasites,Specimen,United Kingdom,2013,National ,,England and wales ,,
Climatic variables are associated with the prevalence of biliary trematodes in otters,Health,Parasites,Specimen,United Kingdom,2013,National ,,,,
Seroprevalence of Toxoplasma gondii in the Eurasian otter (Lutra lutra) in England and,Health,Parasites,Specimen,United Kingdom,2013,National ,,England and wales,,
Lessons from the use of non-invasive genetic sampling as a way to estimate Eurasian otter population size and sex ratio,Population ,Population Structure ,Spraint,United Kingdom,2013,Oxfordshire,,,,
Development of novel real-time TaqMan® PCR assays for the species and sex identification of otter (Lutra lutra) and their application to noninvasive genetic monitoring,Reviews and methods,Genetic Methodologies ,Spraint,United Kingdom,2013,"Derbyshire, Gwynedd                               ","North wales, Midlands ",England wales ,,
A systematic re-sampling approach to assess the probability of detecting otters Lutra lutra using spraint surveys on small lowland rivers,Reviews and methods,Population Review,Literiture,United Kingdom,2013,Glamorgan,South Wales,Wales,,
"Distribution and marking intensity of the Eurasian otter, Lutra lutra, on the River Drinos (southern Albania) ",Population ,Population Size ,Spraint,Albania,2012,,,,,
Land use drivers of species re-expansion: inferring colonization dynamics in Eurasian otters,Population ,Population distribution,Survey_Modelling,Czech Republic,2012,,,,,
Prevalence of embedded shotgun pellets in protected and in legally hunted medium-sized carnivores in Denmark,Ecology ,Human impacts ,Specimen,Denmark,2012,,,,,1 region
Changes in the occurrence and population trend of the Eurasian otter (Lutra lutra) in Hungary between 1990 and 2006,Population ,Population Size ,Survey,Hungary,2012,,,,,
Connectivity providers for semi-aquatic vertebrates: the case of the endangered otter in Italy,Ecology ,Habitat sutibility ,Modeling ,Italy,2012,,,,,7 river systems
Restoration of the Otter Habitats in Luxembourg and Belgium: 5-Year Actions in Favour of the Eurasian Otter (Lutra lutra),Ecology,Habitat Restoration,NA,Luxembourg,2012,,,,,4 or more
The Near Threatened Eurasian otter Lutra lutra in Morocco: no sign of recovery,Reviews and methods,Species Review ,Literiture,Morocco,2012,,,,,
"Factors Influencing Distribution of Eurasian Otter (Lutra lutra) in Swat and Dir Districts, Pakistan",Population ,Population distribution,Survey,Pakistan,2012,,,,,
"Distribution, Population Status and Habitat Utilization of Common Otter (Lutra lutra) in Neelum Valley, Azad Jammu and Kashmir",Population ,Population Size ,Survey,Pakistan,2012,,,,,
Brain Base Arteries: Pattern and Variation in the European Otter (Lutra Lutra),Anatomy and Physiology,Anatomy ,Specimen,Poland,2012,,,,,
The cortical branches of the middle cerebral artery in the otter (Lutra lutra),Anatomy and Physiology,Anatomy ,Specimen,Poland,2012,,,,,
A Low-Cost GPS GSM/GPRS Telemetry System: Performance in Stationary Field Tests and Preliminary Data on Wild Otters (Lutra lutra),Behaviour,Daily Routine ,Tracking,Portugal,2012,,,,,
"Distribution and Habitat Conditions of Habitat Points of the Eurasian Otter Lutra lutra in the Hangang River Water System, Korea",Population ,Population Size ,Survey,Republic of Korea,2012,,,,,
"Changes in the diet of coastal otters after the Prestige oil spill (Galicia, north-west Spain)",Ecology ,Diet,Spraint,Spain,2012,,,,,1 region
Is the standard Eurasian otter Lutra lutra survey strategy suitable for surveying the American mink Neovison vison?,Reviews and methods,Population Review,Literiture,Spain,2012,,,,,
"Improved reproductive success in otters (Lutra lutra), grey seals (Halichoerus grypus) and sea eagles (Haliaeetus albicilla) from Sweden in relation to concentrations of organochlorine contaminants",Pollution,POPs,Specimen,Sweden,2012,,,,,
Changes in the diet of a recovering Eurasian otter population between the 1970s and 2010,Ecology ,Diet,Spraint,United Kingdom,2012,Norfolk,,,,1 river system
"ON THE PRESENCE, CONSERVATION STATUS AND DISTRIBUTION OF THE OTTER (Lutra lutra) IN THE SEMANI RIVER WATERSHED ",Population ,Population Size ,Survey,Albania,2011,,,,,
Otters vs. fishermen: Stakeholders' perceptions of otter predation and damage compensation in the Czech Republic,Ecology ,Human impacts ,Survey,Czech Republic,2011,,,,,2 regions
Adapting global conservation strategies to climate change at the European scale: The otter as a flagship species,Ecology ,Climate change ,Enviromental variables,Europe,2011,,,,,NA
Detectability of the Eurasian otter by standard surveys: an approach using marking intensity to estimate false negative rates,Reviews and methods,Population Review,Literiture,Europe,2011,,,,,
Patterns of otter Lutra lutra road mortality in a landscape abundant in lakes,Ecology ,Human impacts ,Enviromental variables,Germany,2011,,,,,1 region
Food caching by a Eurasian otter,Behaviour,Predation ,Observations ,Hungary,2011,,,,,
Eurasian Otter (Lutra lutra) in the Central Part of the Slovak-Hungarian Border Area,Population ,Population distribution,Survey,Hungary_Slovakia,2011,,,,,1 river system
"A Study on Eurasian Otter (Lutra lutra) in Amirkelayeh Wildlife Refuge and International Wetland in Guilan Province, Northern Iran",Ecology_Population,Habitat Suitability_Population distribution ,Survey,Iran,2011,,,,,1 system
Scent marking of key food sources in the Eurasian otter,Behaviour,Chemical communication ,Spraint,Italy,2011,,,,,
"Can the grey literature help us understand the decline and extinction of the Near Threatened Eurasian otter Lutra lutra in Latium, central Italy?",Reviews and methods,Conservation Status Review ,Literiture,Italy,2011,,,,,
A Demo-Genetic Analysis of a Small Reintroduced Carnivore Population: The Otter (Lutra lutra ) in The Netherlands ,Reviews and methods,Genetic Methodologies ,Literiture,Netherlands,2011,,,,,
Diet of the Eurasian otter Lutra lutra on small watercourses in Western Poland,Ecology ,Diet,Spraint,Poland,2011,,,,,1 river system
Human-wildlife conflicts at pond fisheries in eastern Poland: perceptions and management of wildlife damage,Ecology ,Human impacts ,Survey,Poland,2011,,,,,1 region
"A record of Pseudamphistomum truncatum (Rudolphi, 1819) (Digenea, Opisthorchiidae) in the Eurasian otter (Lutra lutra L.) from Poland",Health,Parasites,Specimen,Poland,2011,,,,,
Use of small and medium-sized water reservoirs by otters in a Mediterranean ecosystem,Ecology ,Habitat Use ,Survey,Portugal,2011,,,,,1 region
Individual identification and sex determination of Eurasian otters (Lutra lutra) in Daegu city based on genetic analysis of otter spraint,Population ,Population Genetics ,Spraint,Republic of Korea,2011,,,,,
The Use of Artificial Lakes on Golf Courses as Feeding Areas by the Otter (Lutra lutra) in Southern Spain,Ecology,Habitat Use ,Survey,Spain,2011,,,,,2 river systems 
Features of the predation of the Eurasian otter upon toads in north-western Spain,Ecology ,Diet,Prey remains,Spain,2011,,,,,1 location
Factors affecting otter (Lutra lutra) abundance and breeding success in freshwater habitats of the northeastern Iberian Peninsula,Ecology ,Habitat Use ,Enviromental variables,Spain,2011,,,,,1 river system
"Comparison of track and direct observation estimations for assessing abundance of the Eurasian otter, Lutra lutra",Reviews and methods,Population Review,Literiture,Spain,2011,,,,,
Food habits of escaped Eurasian otters (Lutra lutra) in a suburban environment in Switzerland,Ecology ,Diet,Spraint,Switzerland,2011,,,,,1 river system
"Otter Scent Signals Age, Sex, and Reproductive Status",Behaviour,Chemical communication ,Specimen,United Kingdom,2011,National ,,,,
Investigation into the Dietary Habits of the Eurasian Otter (Lutra lutra) in the County of Essex,Ecology,Diet,Spraint,United Kingdom,2011,Essex,,,,4 river systems 
Diet of coastal foraging Eurasian otters (Lutra lutra L.) in Pembrokeshire south-west Wales,Ecology ,Diet,Spraint,United Kingdom,2011,Dyfed,South Wales,Wales,,1 region
Location of whitefish (Coregonus lavaretus) spawning grounds using Eurasian otter (Lutra lutra) spraints and prey remains,Ecology ,Diet,Spraint,United Kingdom,2011,Cumbria,North West,England,,2 lakes
Renal calculi in wild Eurasian otters (Lutra lutra) in England.,Health,General Health ,Specimen,United Kingdom,2011,NA,"South West, South",England ,,
"Lead Levels in Eurasian Otters Decline with Time and Reveal Interactions between Sources, Prevailing Weather, And Stream Chemistry",Pollution,Heavy metals,Specimen,United Kingdom,2011,"Gloucestershire, Bristol, Wiltshire, Somerset, Dorset, Devon, Cornwall, (environment agency)  ",Southwest England,,,
Qualitative detection of the NSAIDs diclofenac and ibuprofen in the hair of Eurasian otters (Lutra lutra) occupying UK waterways with GC–MS,Pollution,Pharmaceuticals,Hair,United Kingdom,2011,"Cornwall, Devon, Dorset, North Yorkshire, Somerset, Northumberland, (environment agency)  ","South West, North East ",England ,,
Bayesian clustering techniques and progressive partitioning to identify population structuring within a recovering otter population in the United Kingdom,Population ,Population Structure ,Tissue samples ,United Kingdom,2011,National ,,,,
Carbofuran - A New and Effective Method of Illegal Killing of Otters (Lutra lutra) in the Czech Republic ,Ecology,Human impacts,Postmortem,Czech Republic,2010,,,,,NA
"Otter, Lutra lutra, feeding pattern in the Kamenice River (Czech Republic) with newly established Atlantic salmon, Salmo salar, population",Ecology ,Diet,Spraint,Czech Republic,2010,,,,,1 river system
Genetic diversity and landscape genetic structure of otter (Lutra lutra) populations in Europe,Population ,Population Genetics ,Tissue samples ,Europe,2010,,,,,
Hair density in the Eurasian otter Lutra lutra and the Sea otter Enhydra lutris,Anatomy and Physiology,Anatomy ,Specimen,Germany,2010,,,,,
"Genetic structure of Eurasian otter (Lutra lutra, Carnivora: Mustelidae) populations from the western Baltic sea region and its implications for the recolonization of north-western Germany",Population ,Population Genetics ,Tissue samples ,Germany,2010,,,,,
Note on Hair-Sampling Devices for Eurasian Otters,Reviews and methods,Population Review,Hair,Germany,2010,,,,,
"Prey size selection of the Eurasian Otter, Lutra lutra (Linnaeus, 1758), at the Jajrood River, Iran",Ecology ,Diet,Spraint,Iran,2010,,,,,1 river system
"OTTERS IN THE HAWR AL AZIM WETLAND, IRAN",Population ,Population distribution,Survey,Iran,2010,,,,,1 system
Biliary parasite Pseudamphistomum truncatum(Opistorchiidae) in American mink (Mustela vison) and Eurasian otter (Lutra lutra) in Ireland,Health,Parasites,Specimen,Ireland,2010,,,,,
"Mitochondrial DNA diversity of the Irish otter, Lutra lutra, population",Population ,Population Genetics ,Tissue samples ,Ireland,2010,,,,,
Eurasian otter (Lutra lutra) prey selection in response to a variation of fish abundance,Ecology ,Diet,Spraint,Italy,2010,,,,,1 river system
Do habitat suitability models reliably predict the recovery areas of threatened species?,Population ,Species distribution,Enviromental variables,Italy,2010,,,,,
The Italian Action Plan for the endangered Eurasian otter Lutra lutra,Reviews and methods,Conservation Status Review ,Literiture,Italy,2010,,,,,
Chemical contaminants in fish species from rivers in the North of Luxembourg: Potential impact on the Eurasian otter (Lutra lutra),Pollution,Heavy metals_POPs,Tissue samples ,Luxembourg,2010,,,,,
The reintroduction of the Eurasian otter (Lutra lutra) into the Netherlands: hidden life revealed by noninvasive genetic monitoring,Population ,Population Genetics ,Spraint ,Netherlands,2010,,,,,
Polychlorinated Biphenyls and Reproductive Performance in Otters From the Norwegian Coast,Pollution,POPs,Specimen,Norway,2010,,,,,
"Intensive Exploitation of Amphibians by Eurasian Otter (Lutra lutra) in the Wołosaty Stream, Southeastern Poland",Ecology ,Diet,Spraint,Poland,2010,,,,,1 river system
Trophic niche comparison of American mink and Eurasian otter under different winter conditions,Ecology ,Niche Occupation ,,Poland,2010,,,,,1 river system
Coproscopical investigations of the European otter (Lutra lutra) from Białowieża Primeval Forest ,Health,Parasites,Spraint,Poland,2010,,,,,
Diet of the otter Lutra lutra in an almost pristine Portuguese river: seasonality and analysis of fish prey through scale and vertebrae keys and length relationships,Ecology ,Diet,Spraint,Portugal,2010,,,,,1 river system
"Antimicrobial-Resistant Salmonella Isolated from Eurasian Otters (Lutra lutra Linnaeus, 1758) in Portugal",Health,Microbiome ,Spraint ,Portugal,2010,,,,,
Conservation of Mediterranean otters: the influence of map scale resolution,Reviews and methods,Population Review,Survey,Portugal,2010,,,,,
A comparative analysis of the complete mitochondrial genome of the Eurasian otter Lutra lutra (Carnivora; Mustelidae),Reviews and methods,Genetic Methodologies ,Tissue samples ,Republic of Korea,2010,,,,,
Aquatic Macrophyte Vegetation and its Relationship to the Occurrence of the Eurasian Otter (Lutra lutra) in the Hron River (Slovakia),Ecology,Habitat Suitability ,Survey,Slovakia,2010,,,,,1 river system
The Eurasian Otter (Lutra lutra) in Slovakia – A Preliminary Report from a Survey,Population ,Population distribution,Survey,Slovakia,2010,,,,,4 or more
Impact of otter (Lutra lutra) predation on amphibians in temporary ponds in Southern Spain,Behaviour,Predation ,Observations ,Spain,2010,,,,,
"Natural, human and spatial constraints to expanding populations of otters in the Iberian Peninsula",Ecology,Habitat Suitability ,Literiture,Spain,2010,,,,,
THE ROLE OF COMMON TOADS IN THE WINTER DIET OF RECOLONISING EURASIAN OTTERS (LUTRA LUTRA),Ecology ,Diet,Spraint,Spain,2010,,,,,1 region
Recent Changes in Body Size of the Eurasian Otter Lutra lutra in Sweden,Anatomy and Physiology,Anatomy ,Morphological mesures ,Sweden,2010,,,,,
Bone mineral density in Swedish otters (Lutra lutra) in relation to PCB and DDE concentrations,Pollution,POPs,Specimen,Sweden,2010,,,,,
A multi-scale analysis of the habitat associations of European otter and American mink and the implications for farm scale conservation schemes,Ecology ,Habitat sutibility ,Survey,United Kingdom,2010,Northern Ireland ,,,,50
"Age Structure of the Otter (Lutra lutra) Population in England and Wales, and Problems with Cementum Ageing",Population ,Population Structure,Specimen,United Kingdom,2010,National ,,England wales ,,
INTESTINAL LYMPHOMA OF GRANULAR LYMPHOCYTES IN A FISHER (MARTES PENNANTI) AND A EURASIAN OTTER (LUTRA LUTRA),Health,Disease,Specimen,United States,2010,,,,,
Eurasian Otters in Micro Dams of Southern Bulgaria: Where to Place the Monitoring Zones?,Population ,Population distribution,Survey,Bulgaria,2009,,,,,Many
An evaluation of field and noninvasive genetic methods for estimating Eurasian otter population size,Reviews and methods,Population Review,Literiture,Europe,2009,,,,,
THE RETURN OF OTTER (LUTRA LUTRA) IN HAUTE-SAVOIE (FRANCE): DEVELOPMENT OF A NEW METHOD OF HABITAT ANALYSIS,Ecology ,Habitat sutibility ,Enviromental variables,France,2009,,,,,1 region
Infrared thermography of the body surface in the Eurasian otter Lutra lutraand the giant otter Pteronura brasiliensis,Anatomy and Physiology,Physiology,Observations ,Germany,2009,,,,,
Diet composition of otters (Lutra lutra L.) living on small watercourses in southwestern Hungary,Ecology ,Diet,Spraint,Hungary,2009,,,,,1 river system
"Metal levels in tissues of Eurasian otters (Lutra lutra) from Hungary: Variation with sex, age, condition and location",Pollution,Heavy metals,Tissue samples ,Hungary,2009,,,,,
"HABITAT QUALITY ASSESSMENT FOR THE EURASIAN OTTER (LUTRA LUTRA) ON THE RIVER JAJROOD, IRAN",Ecology ,Habitat sutibility ,Enviromental variables,Iran,2009,,,,,1 river system
Ranging behaviour and socio-biology of Eurasian otters (Lutra lutra) on lowland mesotrophic river systems,Behaviour,Daily Routine ,Tracking,Ireland,2009,,,,,
Altitudinal gradient of Eurasian otter (Lutra lutra) food niche in Mediterranean habitats,Ecology ,Diet,Spraint,Italy,2009,,,,,3 river systems
Seasonal and habitat-related variation of otter Lutra lutra diet in a Mediterranean river catchment (Italy),Ecology ,Diet,Spraint,Italy,2009,,,,,1 river system
Distribution of a recolonising species may not reflect habitat suitability alone: the case of the Eurasian otter (Lutra lutra) in southern Italy,Ecology ,Habitat Use ,Enviromental variables,Italy,2009,,,,,4 river systems 
Modelling semi-aquatic vertebrates’ distribution at the drainage basin scale: The case of the otter Lutra lutra in Italy,Ecology ,Habitat Use ,Enviromental variables,Italy,2009,,,,,NA
Otter Lutra lutra population expansion: assessing habitat suitability and connectivity in southern Italy,Ecology ,Habitat Use ,Enviromental variables,Italy,2009,,,,,7 river systems
Monitoring Peripheral Populations Of The Eurasian Otter (Lutra lutra) In Southern Italy: New Occurrences In The Sila National Park,Population ,Population distribution,Survey,Italy,2009,,,,,1 river system
Using Sightings for Estimating Population Density of Eurasian Otter (Lutra lutra): a Preliminary Approach with Rowcliffe et al's Model,Population ,Population Size,Survey_Modelling,Italy,2009,,,,,2 river systems 
Assessing range re-expansion and recolonization of human-impacted landscapes by threatened species: a case study of the otter (Lutra lutra) in Italy,Population ,Population Size ,Survey,Italy,2009,,,,,
DISTRIBUTION AND DIET OF REINTRODUCED OTTERS (LUTRA LUTRA) ON THE RIVER TICINO (NW ITALY),Population ,Population Size ,Survey,Italy,2009,,,,,
Survey of an otter Lutra lutra population in Southern Italy: site occupancy and influence of sampling season on species detection,Population ,Population Size ,Spraint,Italy,2009,,,,,
Assessing Otter Presence in Dams: A Methodological Proposal,Reviews and methods,Population Review,Survey,Portugal,2009,,,,,NA
Characterizing habitat preference of Eurasian river otter (Lutra lutra) in streams using a self-organizing map,Ecology ,Habitat Use ,Enviromental variables,Republic of Korea,2009,,,,,2 river systems 
"Mitochondrial Genome of the Eurasian Otter Lutra lutra (Mammalia, Carnivora, Mustelidae)",Population ,Population Genetics ,Specimen,Republic of Korea,2009,,,,,
Diet diversity and breeding of top predators are determined by habitat stability and structure: a case study with the Eurasian otter (Lutra lutra L.),Ecology ,Diet,Spraint,Spain,2009,,,,,2 river systems 
Animal decisions and conservation: the recolonization of a severely polluted river by the Eurasian otter,Ecology ,Habitat sutibility ,Enviromental variables,Spain,2009,,,,,1 river system
Seasonal changes in American mink (Neovison vison) signs related to Eurasian otter (Lutralutra) presence,Ecology ,Niche Occupation ,Survey,Spain,2009,,,,,1 river system
Abandoned Clay Mines: An Opportunity For Eurasian Otters In NW Spain,Population ,Population Size,Survey,Spain,2009,,,,,1 river system
"The Smell of New Competitors: The Response of American Mink, Mustela vison, to the Odours of Otter, Lutra lutraand Polecat, M. putoriu",Behaviour,Chemical communication ,Observations ,United Kingdom,2009,Oxfordshire,South,England,,
The effects of riparian habitat quality and biological water quality on the European Otter (Lutra lutra) in Devon,Ecology ,Habitat Use ,Enviromental variables,United Kingdom,2009,Devon,South West,England,,4 river systems 
The impact of native competitors on an alien invasive: temporal niche shifts to avoid interspecific aggression?,Ecology ,Niche Occupation ,Survey,United Kingdom,2009,Oxfordshire,,,,1 river system
"Distribution of Eurasian otter biliary parasites, Pseudamphistomum truncatum and Metorchis albidus (Family Opisthorchiidae), in England and Wales",Health,Parasites,Specimen,United Kingdom,2009,National ,,,,
"Prevalence, distribution and pathological significance of the bile fluke Pseudamphistomum truncatum in Eurasian otters (Lutra lutra) in Great Britain ",Health,Parasites,Specimen,United Kingdom,2009,National Not Chadwick et al,,England wales ,,
Physiological responses of over-wintering common carp (Cyprinus carpio) to disturbance by Eurasian otter (Lutra lutra),Behaviour,Predation ,Prey,Austria,2008,,,,,
Size of marsh frogs in the diet of Eurasian otter in southern Bulgaria,Ecology ,Diet,Spraint,Bulgaria,2008,,,,,2 river systems 
"Occurrence of acanthocephalans in the Eurasian otter Lutra lutra (L.) (Carnivora, Mustelidae) in Bulgaria, with a survey of acanthocephalans recorded from this host species",Health,Parasites,Specimen,Bulgaria,2008,,,,,
Genetic pattern of the recent recovery of European otters in southern France,Population ,Population Genetics ,Spraint,France,2008,,,,,
"PREDATION OF INVASIVE SPECIES CHINESE MITTEN CRAB (Eriocheir sinensis) BY EURASIAN OTTER (Lutra lutra) IN THE DRÖMLING NATURE RESERVE, SAXONY-ANHALT, GERMANY ",Ecology ,Diet,Spraint,Germany,2008,,,,,1 river system
A new method for estimating visitation rates of cryptic animals via repeated surveys of indirect signs ,Reviews and methods,Ecology methods,Survey,Germany,2008,,,,,
An optimisation approach to increase DNA amplification success of otter faeces,Reviews and methods,Population Review,Spraint,Germany,2008,,,,,
Biological data from post mortem analysis of otters in Hungary,Anatomy and Physiology,Anatomy ,Specimen,Hungary,2008,,,,,
Relative spraint density and genetic structure of otter (Lutra lutra) along the Drava River in Hungary,Population ,Population Genetics ,Spraint,Hungary,2008,,,,,
"Field techniques for handling, anaesthetising and fitting radio-transmitters to Eurasian otters (Lutra lutra)",Reviews and methods,Health Methods,Radio Tracking ,Ireland,2008,,,,,
Minimizing leg-hold trapping trauma for otters with mobile phone technology,Reviews and methods,Health Methods,Specimen,Ireland,2008,,,,,
Using videotaping to validate the use of spraints as an index of Eurasian otter (Lutra lutra) activity,Population ,Population Size ,Spraint,Israel,2008,,,,,
Trophic flexibility of the otter (Lutra lutra) in southern Italy,Ecology ,Diet,Spraint,Italy,2008,,,,,2 river systems 
SURVEYING OTTER LUTRA LUTRA DISTRIBUTION AT THE SOUTHERN LIMIT OF ITS ITALIAN RANGE,Population ,Population Size ,Survey,Italy,2008,,,,,
Riverbank assessment and management for the Eurasian otter in the north of Luxembourg,Ecology ,Habitat sutibility ,Survey,Luxembourg,2008,,,,,1 region
Distribution of the Eurasian Otter (Lutra lutra) in the Republic of Macedonia in 2007,Population ,Population distribution,Survey,Macedonia ,2008,,,,,2 river systems 
"Do otters and mink compete for access to foraging sites? A winter case study in the Mazurian Lakeland, Poland",Ecology ,Niche Occupation ,Survey,Poland,2008,,,,,3 rivers 12 lakes
Otter predation in a trout fish farm of Central-east Portugal: Preference for 'fast-food'?,Ecology ,Human impacts ,Spraint,Portugal,2008,,,,,1 pond
"First assessment of microbial diversity in faecal microflora of Eurasian otter (Lutra lutra Linnaeus, 1758) in Portugal",Health,Microbiome ,Spraint,Portugal,2008,,,,,
"Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter",Ecology ,Niche Occupation ,Spraint,Spain,2008,,,,,1 river system
Genetic diversity and individual identification of reintroduced otters (Lutra lutra) in north-eastern Spain by DNA genotyping of spraints,Population ,Population Genetics ,Spraint,Spain,2008,,,,,
"Abundance of the Eurasian Otter Lutra Lutra (Linnaeus, 1758) in Two Areas from Central Spain (Province of Salamanca, River Tormes)",Population ,Population Size,Survey,Spain,2008,,,,,2 river systems 
Demo-genetic analysis of a recovering population of otters in Central Sweden,Population ,Population Genetics ,Spraint,Sweden,2008,,,,,
Otters (Lutra lutra) in Swedish Prehistory – with Notes on Behaviour,Reviews and methods,Species Review ,Literiture,Sweden,2008,,,,,
